Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
DESKTOP-5OK262E,362edf4d72824656a9bc25fb6943b787,2025-12-08T08:14:16Z,2025-02-05T03:48:49Z,Windows,Windows 11,Workstation,10.104.101.172,1.179.227.149,a8-a1-59-7a-23-bb,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oscsecy-J-B0-fl1,SensorGroupingTags/Insite,SensorGroupingTags/Client,FalconGroupingTags/overwatch-detect",Admin,"Recommended policy
22 Apr 25 04:28 UTC","uninstall
09 Oct 25 02:50 UTC","platform_default
17 Apr 25 01:54 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
05 Feb 25 03:51 UTC"
DESKTOP-5RGJN60,6e386f6052f64a008730d4b8a51d839c,2025-12-03T10:14:21Z,2025-02-04T07:00:27Z,Windows,Windows 10,Workstation,10.100.124.129,1.179.227.150,d8-bb-c1-6b-26-93,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",beer,"Recommended policy
03 Apr 25 00:59 UTC","uninstall
09 Oct 25 02:00 UTC","platform_default
17 Apr 25 02:18 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 07:03 UTC"
DESKTOP-5SA3QGT,be2f932b046c40928d66b5fafc79539b,2025-12-08T08:27:37Z,2025-02-14T03:27:09Z,Windows,Windows 10,Workstation,10.104.105.213,1.179.227.154,d8-5e-d3-94-6c-99,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/J4-J-B0-fl4,SensorGroupingTags/Insite,SensorGroupingTags/Client,FalconGroupingTags/overwatch-detect",,"Recommended policy
08 Apr 25 02:41 UTC","uninstall
09 Oct 25 01:59 UTC","platform_default
21 Apr 25 03:12 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 03:28 UTC"
DESKTOP-5TC18PS,99da804464a7475591b4d6f2760166da,2025-12-08T09:25:40Z,2025-01-28T04:03:55Z,Windows,Windows 10,Workstation,10.104.184.81,110.164.235.144,b0-83-fe-ae-5b-f7,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afdc-O1,SensorGroupingTags/Outsite,SensorGroupingTags/Client",AFDC,"Recommended policy
03 Apr 25 02:10 UTC","uninstall
09 Oct 25 02:14 UTC","platform_default
21 Apr 25 02:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
28 Jan 25 04:07 UTC"
DESKTOP-5TDJMLA,1d28994a939d4d689a00deeac0521364,2025-11-14T05:11:39Z,2025-07-16T06:02:49Z,Windows,Windows 10,Workstation,10.104.103.148,1.179.227.137,c4-65-16-23-12-c7,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J2-J-B0-fl3,SensorGroupingTags/Insite,SensorGroupingTags/Client",HP-FON,"Recommended policy
16 Jul 25 06:12 UTC","uninstall
24 Oct 25 02:02 UTC","platform_default
16 Jul 25 06:05 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
16 Jul 25 06:12 UTC"
DESKTOP-5TNEGM5,818d34c782ce433ca90df54308f9ddd2,2025-12-09T01:33:50Z,2025-02-07T02:54:22Z,Windows,Windows 11,Workstation,10.133.222.78,110.164.235.153,e4-a8-df-93-9c-fc,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",NDSIPC12,"Recommended policy
21 May 25 08:31 UTC","uninstall
09 Oct 25 02:00 UTC","platform_default
17 Apr 25 01:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 02:57 UTC"
DESKTOP-613GII6,806af3024e1e4d5886399ddad90ef036,2025-12-09T01:58:18Z,2025-01-29T03:13:51Z,Windows,Windows 10,Workstation,10.133.43.190,110.164.235.155,b0-83-fe-ae-5f-01,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/ctoc-O2,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Supichar.s,"Recommended policy
03 Apr 25 02:07 UTC","uninstall
10 Oct 25 02:06 UTC","platform_default
21 Apr 25 02:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
29 Jan 25 03:17 UTC"
DESKTOP-64BCBIC,3cb2e1f618974a1e8eb1617b3f7ed539,2025-10-31T07:55:52Z,2025-02-07T02:45:48Z,Windows,Windows 10,Workstation,10.133.223.67,110.164.235.170,b0-83-fe-b2-e0-09,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",BUDGET08,"Recommended policy
09 Apr 25 01:30 UTC","uninstall
09 Oct 25 02:08 UTC","platform_default
17 Apr 25 01:58 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 02:48 UTC"
DESKTOP-64P9BUK,0b157a21c74143c8a20c5032500be1f2,2025-11-28T06:53:32Z,2025-02-05T08:01:09Z,Windows,Windows 11,Workstation,10.104.195.121,110.164.235.150,2c-f0-5d-1e-60-1a,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/rdpscc-O4,SensorGroupingTags/Outsite,SensorGroupingTags/Client",TOCKy,"Recommended policy
03 Apr 25 01:57 UTC","uninstall
09 Oct 25 08:20 UTC","platform_default
21 Apr 25 03:08 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
05 Feb 25 08:02 UTC"
DESKTOP-67AVSN7,cd83d763f4844c30ae0c4d82dd72e433,2025-12-09T01:43:03Z,2025-02-07T03:08:57Z,Windows,Windows 10,Workstation,10.133.222.75,110.164.235.150,34-17-eb-d1-c2-36,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ndsi,"Recommended policy
04 Apr 25 01:25 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
21 Apr 25 03:15 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 03:10 UTC"
DESKTOP-67SVS1H,ec4d54b9862a4bb2887de5d4a4a61495,2025-12-09T01:36:25Z,2025-02-14T04:07:41Z,Windows,Windows 10,Workstation,10.134.77.185,1.179.227.138,2c-f0-5d-57-e5-15,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oce-J-B11-fl123,SensorGroupingTags/Insite,SensorGroupingTags/Client",COMMASTER,"Recommended policy
02 Apr 25 10:10 UTC","uninstall
09 Oct 25 04:20 UTC","platform_default
17 Apr 25 03:55 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 04:11 UTC"
DESKTOP-6C0PVHT,3481a0cd2c124f48a7b9d4fdb5076c2a,2025-12-09T02:03:54Z,2025-02-07T04:06:56Z,Windows,Windows 10,Workstation,10.133.222.146,110.164.235.145,94-c6-91-6a-56-9e,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ndsi,"Recommended policy
04 Apr 25 00:45 UTC","uninstall
09 Oct 25 01:58 UTC","platform_default
18 Apr 25 01:25 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 04:08 UTC"
DESKTOP-6DJV9C3,04d0a0ac2ad548b889c29ed3c1c36015,2025-12-08T09:00:39Z,2025-05-21T04:15:45Z,Windows,Windows 10,Workstation,10.133.222.229,110.164.235.152,94-c6-91-6b-40-62,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ndsi,"Recommended policy
21 May 25 04:17 UTC","uninstall
09 Oct 25 03:59 UTC","platform_default
21 May 25 04:16 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
21 May 25 04:17 UTC"
DESKTOP-6ED9VED,2d98ac9dfe49409c987536ee9c2b7337,2025-12-09T01:49:53Z,2025-01-30T03:46:08Z,Windows,Windows 11,Workstation,192.168.1.22,125.25.20.145,f4-6d-3f-17-c4-7e,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afdc-O1,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ADMIN,"Recommended policy
03 Apr 25 01:33 UTC","uninstall
09 Oct 25 03:44 UTC","platform_default
18 Apr 25 01:49 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 03:49 UTC"
DESKTOP-6G344TJ,102c10fb0c804e9a9fe2783b1cbf7438,2025-12-09T01:59:08Z,2025-01-28T02:44:47Z,Windows,Windows 11,Workstation,10.143.20.202,110.164.235.129,f0-86-12-9e-c0-3f,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afdc-O1,SensorGroupingTags/Outsite,SensorGroupingTags/Client",USER,"Recommended policy
05 Jun 25 01:52 UTC","uninstall
14 Oct 25 01:03 UTC","platform_default
17 Apr 25 01:34 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
28 Jan 25 02:48 UTC"
DESKTOP-6LO7V5H,213ba52bb6444dcc8886cf84ef9ce155,2025-12-09T01:26:33Z,2025-01-30T06:31:03Z,Windows,Windows 11,Workstation,10.132.21.6,83.118.88.66,7c-57-58-3c-87-19,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",hp2,"Recommended policy
03 Apr 25 06:32 UTC","uninstall
09 Oct 25 02:03 UTC","platform_default
17 Apr 25 01:57 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 06:34 UTC"
DESKTOP-6MPMCR0,722229352a0044f7922fa3caa451ca17,2025-12-09T01:45:05Z,2025-01-30T07:21:36Z,Windows,Windows 10,Workstation,10.132.19.101,171.7.85.253,48-4d-7e-c4-09-af,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Admin,"Recommended policy
03 Apr 25 02:03 UTC","uninstall
09 Oct 25 01:58 UTC","platform_default
18 Apr 25 01:23 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 07:23 UTC"
DESKTOP-6N2FBMR,0f8f60312ab047a8bbd44b3d7807e8b8,2025-12-06T09:19:50Z,2025-02-14T03:28:19Z,Windows,Windows 10,Workstation,10.134.77.168,1.179.227.141,c4-65-16-23-13-be,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oce-J-B11-fl123,SensorGroupingTags/Insite,SensorGroupingTags/Client",OCE,"Recommended policy
03 Apr 25 01:10 UTC","uninstall
10 Oct 25 02:23 UTC","platform_default
17 Apr 25 01:33 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 03:30 UTC"
DESKTOP-6PCHFE2,17987c399b73418289abeb7e2c76046e,2025-12-08T09:01:38Z,2025-02-07T06:25:29Z,Windows,Windows 10,Workstation,10.134.49.29,110.164.235.148,34-60-f9-54-d7-f1,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/thaindc-O10,SensorGroupingTags/Outsite,SensorGroupingTags/Client",กศส,"Recommended policy
03 Apr 25 02:05 UTC","uninstall
16 Oct 25 07:12 UTC","platform_default
22 Apr 25 02:30 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 06:29 UTC"
DESKTOP-6RLTKA8,e42984f20c044a5e9c602e4bee5dcc74,2025-12-08T08:26:59Z,2025-02-05T04:06:15Z,Windows,Windows 10,Workstation,10.142.22.122,110.164.235.171,30-52-cb-ab-4e-fc,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oscsecy-J-B0-fl1,SensorGroupingTags/Insite,SensorGroupingTags/Client",RTARF,"Recommended policy
21 Apr 25 11:39 UTC","uninstall
09 Oct 25 09:17 UTC","platform_default
18 Apr 25 11:42 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
05 Feb 25 04:07 UTC"
DESKTOP-6T1N8F7,d0f9e09a4b934b21a15b0f73828ec60e,2025-12-09T01:50:53Z,2025-02-07T04:32:07Z,Windows,Windows 10,Workstation,10.133.222.84,110.164.235.159,e8-d8-d1-c9-b5-0a,7.27.19909.0,"Client,DisableProtection,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client,FalconGroupingTags/DisableProtection",NDSI,"DisableProtection
09 Jun 25 03:44 UTC","uninstall
09 Oct 25 01:58 UTC","platform_default
17 Apr 25 01:07 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 04:33 UTC"
DESKTOP-6UCNV18,19cd8d4fc12a4af78578a02b0b8fcdc1,2025-12-08T04:43:16Z,2025-02-14T02:58:01Z,Windows,Windows 10,Workstation,192.168.222.1,1.179.227.151,00-50-56-c0-00-08,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J4-J-B0-fl4,SensorGroupingTags/Insite,SensorGroupingTags/Client",VATANYOU.W,"Recommended policy
03 Apr 25 06:17 UTC","uninstall
09 Oct 25 03:48 UTC","platform_default
21 Apr 25 03:47 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 03:00 UTC"
DESKTOP-6VT1U3M,b96a4d6633f04c2e8761fe899b3f6767,2025-12-08T07:01:00Z,2025-02-07T02:25:37Z,Windows,Windows 10,Workstation,192.168.171.53,125.24.252.28,50-3e-aa-67-df-96,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ndsi,"Recommended policy
03 Apr 25 01:06 UTC","uninstall
09 Oct 25 01:56 UTC","platform_default
17 Apr 25 04:15 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 02:33 UTC"
DESKTOP-70M9VDL,bb22de9a234d4f5ca2ae166b046b09dc,2025-11-05T08:45:08Z,2025-02-07T03:46:35Z,Windows,Windows 10,Workstation,10.133.221.71,110.164.235.156,c4-65-16-b4-ec-91,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",NDSI,"Recommended policy
30 Apr 25 07:42 UTC","uninstall
09 Oct 25 01:56 UTC","platform_default
30 Apr 25 07:36 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 03:48 UTC"
DESKTOP-717N2V3,4a47e4bbbc804038b7d672b159e46d7c,2025-12-09T01:48:44Z,2025-01-30T06:30:25Z,Windows,Windows 10,Workstation,10.132.23.101,171.6.129.5,48-4d-7e-c4-06-a9,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",admin,"Recommended policy
02 Apr 25 10:13 UTC","uninstall
09 Oct 25 01:57 UTC","platform_default
17 Apr 25 03:48 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 06:35 UTC"
DESKTOP-71NS58I,07ef51ab6ae34f589e4d123efda621aa,2025-12-08T12:58:29Z,2025-02-13T03:05:49Z,Windows,Windows 10,Workstation,10.104.100.184,1.179.227.145,b0-83-fe-ad-e2-b3,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/RTARFHQ-J-B0-fl16,SensorGroupingTags/Insite,SensorGroupingTags/Client",,"Recommended policy
03 Apr 25 00:41 UTC","uninstall
09 Oct 25 02:00 UTC","platform_default
17 Apr 25 01:15 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
13 Feb 25 03:10 UTC"
DESKTOP-72AAEUL,dc9b9357b918474ca14f1fc3d11d2bcf,2025-12-09T01:21:13Z,2025-02-07T05:57:15Z,Windows,Windows 11,Workstation,192.168.1.134,113.53.62.84,e8-d8-d1-c9-b2-80,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",SSC,"Recommended policy
03 Apr 25 01:27 UTC","uninstall
09 Oct 25 02:48 UTC","platform_default
19 Apr 25 05:02 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 06:00 UTC"
DESKTOP-73BFNO1,201d5346eee746b79bb1de1c0c5470ab,2025-12-08T09:03:53Z,2025-01-30T06:36:06Z,Windows,Windows 11,Workstation,10.132.21.33,83.118.88.66,7c-57-58-3c-ab-4a,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",hp1,"Recommended policy
03 Apr 25 02:00 UTC","uninstall
08 Oct 25 04:05 UTC","platform_default
17 Apr 25 01:48 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 06:37 UTC"
DESKTOP-748PP7F,9b78e7d3194442708585cadc24641f49,2025-12-09T01:51:39Z,2025-01-30T07:01:01Z,Windows,Windows 10,Workstation,10.132.21.39,27.145.140.84,04-d4-c4-b1-b5-bc,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",This_PC,"Recommended policy
03 Apr 25 01:39 UTC","uninstall
09 Oct 25 02:52 UTC","platform_default
17 Apr 25 01:35 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 07:02 UTC"
DESKTOP-748PP7F,a28531fdcf84460b8ef93ff4f50ec0f7,2025-12-08T09:03:16Z,2025-01-30T07:01:53Z,Windows,Windows 10,Workstation,10.132.21.47,171.7.85.253,04-d4-c4-b1-b6-6f,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",This_PC,"Recommended policy
03 Apr 25 02:07 UTC","uninstall
09 Oct 25 03:30 UTC","platform_default
29 Apr 25 01:47 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 07:05 UTC"
DESKTOP-75655DI,3f16fc741dd54425b1c624ba0b8fbf91,2025-12-09T02:05:12Z,2025-01-30T06:31:58Z,Windows,Windows 10,Workstation,10.132.23.103,171.7.85.253,64-51-06-ff-9f-9d,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",admin,"Recommended policy
02 Apr 25 11:28 UTC","uninstall
09 Oct 25 02:14 UTC","platform_default
17 Apr 25 00:37 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 06:36 UTC"
DESKTOP-770GGOA,6b475c872d2a43fe8c9a05866a25a7b5,2025-12-09T01:59:43Z,2024-12-24T07:43:19Z,Windows,Windows 10,Workstation,10.141.64.87,1.179.227.153,70-b5-e8-26-71-61,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",User,"Recommended policy
02 Apr 25 10:14 UTC","uninstall
24 Sep 25 02:27 UTC","platform_default
17 Apr 25 03:23 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
24 Dec 24 07:46 UTC"
DESKTOP-77E2J1N,931430524a4c4f1e962952805e5402d4,2025-12-09T02:00:32Z,2025-01-31T04:07:33Z,Windows,Windows 11,Workstation,192.168.1.67,171.6.113.233,90-0f-0c-90-14-b3,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Dell AIO,"Recommended policy
03 Apr 25 03:09 UTC","uninstall
14 Oct 25 02:52 UTC","platform_default
21 Apr 25 06:14 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
31 Jan 25 04:10 UTC"
DESKTOP-77URI65,c28458c4257a41259f3a79c6824f4450,2025-12-09T01:43:58Z,2025-01-30T04:15:26Z,Windows,Windows 11,Workstation,192.168.1.13,101.108.197.30,f4-6d-3f-16-fe-86,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afdc-O1,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ADMIN,"Recommended policy
04 Apr 25 01:38 UTC","uninstall
10 Oct 25 02:48 UTC","platform_default
17 Apr 25 00:56 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
30 Jan 25 04:17 UTC"
DESKTOP-7AVFC53,a18a0742ec3c4307be09ab799e86812f,2025-12-08T09:35:06Z,2025-01-31T02:39:27Z,Windows,Windows 10,Workstation,192.168.2.126,184.22.228.108,48-4d-7e-c2-67-bd,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",div2,"Recommended policy
04 Apr 25 03:23 UTC","uninstall
09 Oct 25 03:27 UTC","platform_default
17 Apr 25 03:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
31 Jan 25 02:43 UTC"
DESKTOP-7BGTH8E,b394ed5cd52246598804acd02517b09c,2025-12-09T02:04:42Z,2025-02-04T03:16:16Z,Windows,Windows 10,Workstation,10.100.124.153,1.179.227.154,10-60-4b-79-20-0f,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",USER,"Recommended policy
03 Apr 25 01:35 UTC","uninstall
10 Oct 25 08:41 UTC","platform_default
17 Apr 25 01:46 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 03:19 UTC"
DESKTOP-7BL3H3T,15e927eeb444486588d36e2b170ed78b,2025-12-08T08:23:47Z,2025-02-04T06:49:12Z,Windows,Windows 10,Workstation,10.100.124.193,1.179.227.154,e4-a8-df-92-4d-38,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",Jum,"Recommended policy
03 Apr 25 01:57 UTC","uninstall
09 Oct 25 08:15 UTC","platform_default
21 Apr 25 04:31 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 06:51 UTC"
DESKTOP-7CJ3F33,7fe9c4965d2d44d685d4ee588ffd354a,2025-12-09T01:40:10Z,2025-02-04T06:29:09Z,Windows,Windows 10,Workstation,10.100.124.213,1.179.227.154,bc-5f-f4-9a-4b-74,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",com02,"Recommended policy
03 Apr 25 00:54 UTC","uninstall
22 Oct 25 03:37 UTC","platform_default
18 Apr 25 00:24 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 06:31 UTC"
DESKTOP-7D9V8C9,3711fac39501448f8fccb9207a37be89,2025-12-08T08:30:59Z,2025-02-04T04:31:01Z,Windows,Windows 11,Workstation,10.134.44.162,1.179.227.147,c0-18-03-5b-8d-8b,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/ssd-O3,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Dental,"Recommended policy
03 Apr 25 01:43 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
17 Apr 25 00:25 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 04:33 UTC"
DESKTOP-7DMQ3IK,f2286a70b18c4a8ab267ae3f4be6fb1b,2025-12-07T17:28:22Z,2025-02-07T04:39:02Z,Windows,Windows 10,Workstation,10.133.222.105,110.164.235.142,d4-3d-7e-cb-27-93,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/ndsi-O9,SensorGroupingTags/Outsite,SensorGroupingTags/Client",NDSI,"Recommended policy
03 Apr 25 07:45 UTC","uninstall
09 Oct 25 02:23 UTC","platform_default
21 Apr 25 02:56 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 04:42 UTC"
DESKTOP-7GAF6V6,40c2b83a72d94da9a2a9c0a3dd25905e,2025-12-08T10:22:41Z,2025-01-29T03:36:57Z,Windows,Windows 10,Workstation,10.133.44.185,110.164.235.140,1c-bf-c0-0e-96-0b,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/ctoc-O2,SensorGroupingTags/Outsite,SensorGroupingTags/Client",CTOC106,"Recommended policy
03 Apr 25 02:49 UTC","uninstall
12 Oct 25 07:21 UTC","platform_default
17 Apr 25 13:33 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
29 Jan 25 03:38 UTC"
DESKTOP-7JF24NL,2c65e3091df64eb1b2f843354a5de474,2025-12-08T09:33:57Z,2025-01-31T02:58:32Z,Windows,Windows 10,Workstation,10.132.50.119,110.164.235.151,54-04-a6-61-79-8f,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/afsc-O5,SensorGroupingTags/Outsite,SensorGroupingTags/Client",Admin,"Recommended policy
04 Apr 25 03:03 UTC","uninstall
09 Oct 25 02:57 UTC","platform_default
18 Apr 25 06:25 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
31 Jan 25 03:01 UTC"
DESKTOP-7NFEEFM,1b05d5f6f24640a8b9866ec2a0b7976d,2025-12-01T02:30:31Z,2025-02-04T07:14:17Z,Windows,Windows 10,Workstation,10.100.124.145,1.179.227.146,50-65-f3-3b-cf-34,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",HP,"Recommended policy
08 Apr 25 03:22 UTC","uninstall
17 Oct 25 07:15 UTC","platform_default
23 Apr 25 07:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 07:17 UTC"
DESKTOP-7NFEEFM,607df1501c6f4158a13db2738e4f5c71,2025-12-05T04:56:27Z,2025-02-04T07:02:27Z,Windows,Windows 10,Workstation,10.100.124.148,1.179.227.149,50-65-f3-3e-81-c8,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/J1-J-B0-fl2,SensorGroupingTags/Insite,SensorGroupingTags/Client",printer02,"Recommended policy
03 Apr 25 01:39 UTC","uninstall
09 Oct 25 02:01 UTC","platform_default
18 Apr 25 02:41 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
04 Feb 25 07:05 UTC"
DESKTOP-7PCV9MF,22a48fad775749b48ba2c8374661e543,2025-12-08T05:16:03Z,2025-07-29T03:08:53Z,Windows,Windows 10,Workstation,10.114.173.4,202.176.124.187,e4-fa-c4-87-a0-3f,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/sscthailand-O13,SensorGroupingTags/Outsite,SensorGroupingTags/Client",ที่ปรึกษา 8 วปอ,"Recommended policy
29 Jul 25 03:23 UTC","uninstall
09 Oct 25 02:13 UTC","platform_default
29 Jul 25 03:18 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
29 Jul 25 03:20 UTC"
DESKTOP-7SS4FR7,24b53efcf65a49e8b453e3b39b058240,2025-12-04T08:26:39Z,2025-02-07T03:34:25Z,Windows,Windows 11,Workstation,10.133.234.55,110.164.235.162,e8-d8-d1-c9-98-6e,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/thaindc-O10,SensorGroupingTags/Outsite,SensorGroupingTags/Client",กอส วปอ,"Recommended policy
04 Apr 25 01:34 UTC","uninstall
14 Oct 25 04:35 UTC","platform_default
17 Apr 25 00:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 03:37 UTC"
